school.id,gender,employ,t.score,ID,english,math,grade
1,girl,9,23,1,72,23,3
1,girl,9,23,1,80,24,4
1,girl,9,23,1,39,23,5
1,boy,2,15,2,7,14,3
1,boy,2,15,2,17,11,4
1,boy,2,22,3,88,36,3
1,boy,2,22,3,89,32,4
1,boy,2,22,3,83,39,5
1,boy,9,14,4,12,24,3
1,boy,9,14,4,25,26,4
1,boy,9,14,4,12,32,5
1,girl,9,19,5,67,22,3
1,girl,9,19,5,78,23,4
1,girl,4,16,6,52,19,3
1,girl,4,16,6,76,23,4
1,girl,4,16,6,19,11,5
1,boy,9,17,7,37,22,3
1,boy,9,17,7,68,22,4
1,boy,9,17,7,31,26,5
1,girl,9,21,8,57,18,3
1,girl,9,21,8,86,29,4
1,girl,9,21,8,40,28,5
1,boy,4,30,9,42,30,3
1,boy,4,30,9,59,31,4
1,girl,5,25,10,46,29,3
1,girl,5,25,10,79,29,4
1,girl,4,32,11,69,31,3
1,girl,4,32,11,84,28,4
1,girl,4,32,11,50,32,5
1,girl,4,15,12,54,18,3
1,girl,4,15,12,74,26,4
1,girl,3,25,13,63,23,3
1,girl,3,25,13,39,27,5
1,girl,2,29,14,83,39,3
1,girl,2,29,14,88,35,4
1,girl,2,29,14,80,36,5
1,girl,7,34,15,37,24,3
1,girl,7,34,15,44,30,4
1,girl,7,34,15,37,33,5
1,boy,5,27,16,15,25,3
1,boy,5,27,16,20,29,4
1,boy,5,27,16,4,33,5
1,boy,4,21,17,43,27,3
1,boy,4,21,17,55,30,4
1,boy,4,21,17,29,30,5
1,girl,9,17,19,52,14,3
1,girl,9,17,19,84,10,4
1,girl,9,17,19,46,25,5
1,boy,4,22,20,11,14,3
1,boy,4,22,20,23,20,4
1,boy,4,22,20,9,17,5
1,girl,9,15,21,27,16,3
1,girl,9,15,21,50,15,4
1,girl,9,15,21,15,18,5
1,boy,4,25,22,79,30,3
1,boy,4,25,22,87,29,4
1,boy,4,25,22,42,33,5
1,boy,4,21,23,65,19,3
1,boy,4,21,23,71,19,4
1,boy,4,21,23,36,20,5
1,boy,3,20,24,23,11,3
1,boy,3,20,24,22,8,4
1,boy,3,20,24,10,13,5
1,boy,3,23,25,37,22,3
1,boy,3,23,25,67,25,4
1,boy,4,16,26,33,19,3
1,boy,4,16,26,50,18,4
1,boy,4,16,26,17,25,5
1,girl,4,34,27,64,29,3
1,girl,4,34,27,76,29,4
1,girl,4,34,27,31,27,5
1,boy,3,20,28,10,22,3
1,boy,3,20,28,17,12,4
1,boy,3,20,28,11,21,5
1,boy,4,20,29,27,21,3
1,boy,4,20,29,25,24,4
1,boy,4,20,29,11,30,5
1,girl,3,30,30,42,19,3
1,girl,3,30,30,70,25,4
1,girl,3,30,30,20,27,5
1,boy,4,31,31,34,17,3
1,boy,4,31,31,46,17,4
1,boy,4,31,31,8,22,5
1,girl,6,24,32,83,28,3
1,girl,6,24,32,86,27,4
1,boy,4,24,33,8,11,3
1,boy,4,24,33,11,10,4
1,boy,4,24,33,10,16,5
1,boy,4,19,34,9,17,3
1,girl,4,14,35,27,14,3
1,girl,4,14,35,61,16,4
1,girl,4,14,35,24,20,5
2,girl,2,31,37,27,19,3
2,girl,2,31,37,38,30,4
2,girl,2,31,37,15,27,5
2,boy,3,25,39,70,30,3
2,boy,3,25,39,86,31,4
2,boy,3,25,39,58,37,5
2,girl,9,19,40,35,26,4
2,girl,9,19,40,13,22,5
2,boy,2,29,41,78,33,3
2,boy,2,29,41,89,32,4
2,girl,9,33,42,42,18,3
2,girl,9,33,42,73,20,4
2,girl,9,33,42,34,32,5
2,girl,4,28,43,81,24,3
2,girl,4,28,43,81,32,4
2,girl,4,28,43,41,28,5
2,boy,9,26,44,19,28,3
2,boy,9,26,44,30,29,4
2,boy,9,26,44,17,28,5
2,boy,9,15,45,54,25,3
2,boy,9,15,45,81,29,4
2,boy,9,15,45,41,35,5
2,boy,2,34,46,88,34,3
2,boy,2,34,46,90,37,4
2,boy,2,34,46,88,37,5
2,boy,9,25,48,63,28,3
2,boy,9,25,48,81,30,4
2,boy,9,25,48,7,34,5
2,girl,9,20,50,37,22,3
2,girl,9,20,50,79,29,4
2,girl,9,20,50,41,27,5
2,girl,6,14,51,8,14,3
2,girl,6,14,51,40,26,4
2,girl,6,14,51,11,19,5
2,girl,2,22,52,3,17,3
2,girl,2,22,52,34,15,4
3,girl,2,27,60,74,31,3
3,girl,2,27,60,84,32,4
3,girl,4,35,61,72,33,3
3,girl,4,35,61,77,30,4
3,girl,4,35,61,54,37,5
3,girl,5,35,62,81,34,3
3,girl,5,35,62,85,34,4
3,girl,5,35,62,78,39,5
3,boy,2,32,65,71,37,3
3,boy,2,32,65,60,37,5
3,girl,5,29,66,72,32,3
3,girl,5,29,66,55,35,5
3,boy,4,24,67,57,23,3
3,boy,4,24,67,66,29,4
3,boy,4,24,67,26,33,5
3,boy,6,26,68,51,33,3
3,boy,6,26,68,79,31,4
3,boy,6,26,68,24,37,5
3,boy,5,21,69,59,24,3
3,boy,5,21,69,76,9,4
3,boy,5,21,69,50,37,5
3,girl,4,29,70,30,18,3
3,girl,4,29,70,48,18,4
3,girl,4,29,70,31,32,5
3,boy,7,24,71,28,28,3
3,girl,7,31,73,67,27,3
3,girl,7,31,73,80,27,4
3,boy,4,22,74,34,30,3
3,boy,4,22,74,44,24,4
3,boy,4,25,75,55,31,3
